fipsCode,elev_mean,elev_std,elev_min,elev_max,elev_range,elev_p90_p10,tri_km,slope_pct,ers_topo_code,ers_pct_water
39145,233.16666666666663,46.69016760959881,157.0,345.0,188.0,132.59999999999997,35.28333333333333,2.393723212881923,19,0.62
39147,246.21666666666667,22.96208493653763,201.0,294.0,93.0,64.30000000000001,6.1,0.2213031587249875,2,0.32
39149,303.55,11.09653328059974,277.0,340.0,63.0,25.100000000000023,4.75,0.2995562665271332,2,0.43
39151,335.95,25.26028905990251,291.0,390.0,99.0,66.69999999999999,17.866666666666667,0.9089842634070434,5,0.82
39153,315.15,31.041156386811828,205.0,387.0,182.0,56.80000000000001,22.216666666666665,1.1951612203814015,5,1.74
39155,304.0,33.084893372829924,246.0,365.0,119.0,91.10000000000002,17.95,0.654604044877811,4,2.88
39157,315.1,35.247166011814436,244.0,383.0,139.0,96.10000000000002,28.05,1.6429741806182403,18,0.68
39159,300.96666666666664,14.148086852359963,280.0,335.0,55.0,38.10000000000002,4.05,0.2321348743961058,4,0.08
39161,239.18333333333337,9.460876919736114,220.0,259.0,39.0,23.09999999999999,2.966666666666667,0.1975811744445191,1,0.1
39163,257.95,33.16339875448764,185.0,329.0,144.0,92.1,28.783333333333335,1.564473626043402,18,0.21
39165,261.0833333333333,26.183376578270956,190.0,312.0,122.0,58.69999999999999,13.616666666666667,0.793317599790808,5,1.79
39167,244.6,36.619065146496986,183.0,338.0,155.0,101.6,32.56666666666667,1.471273555416348,18,0.77
39169,330.15,28.191731568202037,254.0,382.0,128.0,69.30000000000001,20.0,0.676397962115862,5,0.17
39171,253.53333333333333,26.46805984749157,211.0,314.0,103.0,66.4,6.883333333333334,0.3227061646075531,2,0.3
39173,206.03333333333333,10.001638283880393,184.0,233.0,49.0,24.19999999999999,2.533333333333333,0.1515913034688391,1,0.52
39175,261.6333333333333,13.158701016034165,230.0,288.0,58.0,35.20000000000002,3.8833333333333337,0.2123956145364332,2,0.49
42001,210.21666666666667,74.97278413919227,129.0,434.0,305.0,174.9,25.9,0.927390328220148,16,0.29
42003,315.95,40.54937354528741,218.0,383.0,165.0,111.5,37.61666666666667,1.8262381485992123,19,1.95
42005,374.81666666666666,48.47102635059657,235.0,475.0,240.0,119.2,41.6,1.7129490717850795,19,1.58
42007,326.2,39.96133724709762,210.0,390.0,180.0,91.2,37.95,2.082503567578455,19,1.95
42009,447.35,104.10568700986803,296.0,903.0,607.0,234.00000000000009,90.1,2.847081500311953,16,0.28
42011,168.23333333333332,80.27186151704986,75.0,490.0,415.0,155.60000000000002,45.016666666666666,1.6564441881613967,10,0.75
